Index,PPPrice
7798,260.8997685289406
1788,314.24480741740695
2084,333.23845976115695
18361,260.95955126451156
13939,351.52197351843876
2162,202.83953397990695
1447,486.9782882586769
16780,266.85613554240695
5685,234.02215116740695
6910,337.52898710490695
5224,299.08660429240695
6985,432.53962938951156
265,338.5613433832783
9937,308.62512107679595
4628,181.86785429240695
16419,205.86590116740695
9875,253.866878977428
4956,330.99969022990695
9715,245.85174101115695
11776,462.51531522990695
10151,413.59374980125887
1075,431.00652616740695
5852,357.24822538615695
6379,228.67888944865695
10651,305.6136931711481
16789,344.20086210490695
16585,427.5638722308256
12984,449.0165449903278
4319,128.40056913615695
18549,231.68048400827834
12254,254.02019804240695
1967,292.18426054240695
13399,287.9573394770283
14332,290.28191679240695
1840,162.11883085490695
3279,309.92058866740695
14739,447.22576444865695
7692,240.29039352894063
13924,265.63054960490695
14592,195.23650663615695
6193,305.5452301020283
5050,356.72332304240695
15150,338.13933866740695
9452,282.70965116740695
19345,378.4304840082783
10464,262.36492460490695
15696,199.78094022990695
12790,186.26495666452834
7515,410.17937772990695
14803,217.7806853586481
19915,420.54168241740695
15798,312.52556913615695
19520,344.6441735468101
960,167.84318535864813
7869,193.51087276556018
9553,276.54949491740695
15824,275.57488554240695
1630,357.09588163615695
2161,359.73943632365695
19408,355.37371366740695
15960,319.36980741740695
13997,258.25740282701156
20726,231.18310633093876
20272,272.5230797968102
18722,414.90838163615695
7730,232.75759102803192
1818,312.94988554240695
4250,280.00066679240695
11211,402.33562772990695
19713,415.17742460490695
6654,259.15301054240695
12397,377.0046773121852
10359,406.10857694865695
238,185.6566619211481
19843,266.94597929240695
13425,171.01902292240732
12141,518.419612104907
19070,471.73459471304193
8443,201.09441679240695
14730,355.99578397990695
3356,237.86199491740695
15281,430.08465116740695
14216,284.98894804240695
15972,286.85222929240695
10139,309.9360073049034
2152,283.03924101115695
20900,272.90984647990695
3896,216.09814539343876
2305,385.76828611929193
5238,274.44060819865695
8941,351.4128173692919
14665,298.7490767932695
8783,144.94011991740695
2370,542.6402989974309
10955,283.46492235826156
6182,253.87566679240695
19755,550.664729292407
2480,307.83269804240695
16274,268.86297147990695
15765,225.95769804240695
8681,250.72820585490695
6615,232.78289335490695
16983,449.41169970201156
272,395.78533476115695
325,213.66228788615695
14859,336.98504179240695
9331,166.66961210490695
6721,239.92348064081676
6202,290.24383085490695
19574,232.00115507365695
8530,220.25470275827834
15054,255.2293121332783
14219,202.23504179240695
20372,372.25496142076156
5307,214.03767626451156
16344,252.10857694865695
15562,344.62947313951156
20438,236.69793241740695
2205,269.72527616740695
14211,210.63250272990695
14107,379.99480741740695
5853,328.37957304240695
8593,397.30047147990695
20623,265.2615386957783
10104,464.35076444865695
13506,172.05144804240695
2061,206.8002166086481
20130,390.46923914343876
2929,226.00408476115695
19079,267.78972929240695
9365,432.20525663615695
9498,287.98406522990695
17380,338.43719022990695
10368,195.20867460490695
19829,341.89519804240695
623,427.6028472895283
10472,302.9861943101906
14119,269.20183866740695
9776,336.29314726115695
9924,301.17010038615695
20021,271.0164215082783
20908,374.1931793207783
14699,304.7873639385453
226,286.32879179240695
8015,265.20769804240695
2211,364.40984647990695
14618,287.43904345201156
4346,198.46551054240695
6854,357.44002001451156
8800,280.2357060289406
13422,382.88494413615695
11829,251.11687772990695
3518,229.62176054240695
15182,183.66717069865695
564,296.87371366740695
11637,441.10174101115695
18455,166.74920194865695
7278,329.1517216539406
6526,373.87566679240695
7024,259.20476835490695
5169,461.20769804240695
18301,316.01433866740695
1568,358.59051054240695
2066,382.70135038615695
2880,439.09783476115695
533,278.38543241740695
15341,232.77107470201156
9270,300.92449491740695
12656,253.60505907701156
17911,343.54558866740695
2183,197.16961210490695
8643,245.73943632365695
16461,541.645198042407
11293,223.22918241740695
19204,413.97967069865695
692,291.02019804240695
4983,154.66472929240695
7611,335.51629179240695
3212,377.22136991740695
1631,374.78572313951156
16953,269.71746366740695
8176,243.14324491740695
20777,300.1995269770283
18995,163.47820585490695
14061,226.80144804240695
17796,374.5432769770283
11769,312.00017851115695
9960,164.77019804240695
15085,323.60711210490695
15323,396.98211210490695
5823,299.59246366740695
16040,302.6219364976906
10499,218.47185819865695
11346,180.57293241740695
16233,145.66603085114755
88,306.48797147990695
2040,178.8197478586481
16198,271.43621366740695
19487,403.82195585490695
2668,581.639769514296
146,375.20225489035545
796,300.43474882365695
8299,359.85017626451156
9894,362.50945585490695
7752,331.48211210490695
15963,274.42156522990695
8462,211.74969022990695
20321,235.48845976115695
2780,435.39872160182364
9264,286.6516754145283
12696,241.28631132365695
15423,130.62371366740695
19098,408.31201258093876
16552,251.85808866740695
9987,330.54119413615695
10212,305.17590232679595
6141,250.33660429240695
17617,184.80633085490695
13779,337.57683866740695
9931,437.5361049611534
6436,324.66308679968876
5242,246.52791063951156
17104,174.67058866740695
7584,182.46931688951156
18004,300.5029018361534
8626,259.42400663615695
9688,297.2757450914406
6375,259.2297119005419
16237,321.29265897990695
16969,269.94011991740695
18177,174.91619413615695
6804,369.8690068101906
6460,420.1230043370434
17301,354.93945398718876
15854,368.6526519770283
5359,517.081721479907
13451,272.16082304240695
15736,247.80406540394063
7260,343.08455126451156
5254,452.63054960490695
19528,477.54363554240695
9957,334.53875272990695
7768,317.2513310289406
16522,270.71990507365695
3678,512.4381917618159
19965,214.45867460490695
6903,246.36736601115695
18828,384.69402616740695
5860,349.80681913615695
2348,271.20867460490695
3829,140.76238554240695
7266,492.3761800430659
16933,265.69880907701156
6217,324.83855741740695
10852,223.42449491740695
18132,212.11980741740695
19704,237.13152616740695
19415,408.47429960490695
8877,264.55926054240695
9479,234.71404569865695
18680,224.55926054240695
15251,204.82097929240695
17894,212.09734647990695
20081,309.62810819865695
12356,607.4093831680659
6251,482.26433866740695
1986,495.68859763929595
13980,407.70867460490695
12535,339.0062138414406
14006,224.42888944865695
11070,337.58074491740695
14746,231.94659728952834
853,314.46697538615695
12387,185.34978788615695
16440,191.43487853952834
1510,241.05926054240695
18443,505.86785429240695
4492,300.3123199457783
12290,407.76757898718876
2127,222.99804773718876
5153,273.31707304240695
18173,257.78386991740695
10061,326.01043241740695
5339,322.28728788615695
4289,216.09539335490695
4478,277.27312772990695
6068,282.90691679240695
11223,307.54762419617686
3873,225.89910429240695
18506,293.86533623952477
7070,369.9075347895283
19597,442.38982694865695
8444,173.42765801489813
12997,294.68523710490695
2080,329.33113329576156
10647,321.07683866740695
6206,277.8235966539406
1010,429.74773710490695
13134,337.65830498952477
12270,267.10222929240695
6509,241.29949491740695
16503,275.36199491740695
5845,228.12176054240695
12712,343.70672147990695
8307,304.0643767648981
15790,241.62761991740695
8564,264.3528472895283
501,283.62609763929595
15040,346.6956669664406
11695,285.91472929240695
20443,271.62127226115695
15543,220.02068632365695
17585,305.07488554240695
20159,203.19353788615695
8790,242.55974882365695
6072,297.86345976115695
20066,275.86687772990695
19972,314.53240507365695
17101,349.42832452077477
3345,178.19073791452834
16142,373.14084471304193
14551,218.6561736398981
20795,208.24954511804077
16176,358.62517851115695
4139,541.666682417407
15668,256.24519579576156
684,336.39617460490695
11158,176.65886991740695
12759,334.01629179240695
13638,378.5447418207783
17951,586.6069628243148
20495,311.9291713674034
10991,299.6694057424034
480,132.86394804240695
6784,263.54070585490695
17960,554.7763680496888
18603,353.85320585490695
5710,236.36101835490695
432,332.12902732679595
12098,320.10222929240695
20459,264.66961210490695
1000,203.22722929240695
20326,307.3918843434352
4068,271.25603788615695
13709,279.79851835490695
18580,279.48699491740695
19250,260.7425419664406
19752,284.5779449457783
10702,246.32097929240695
11525,334.78369226843876
3095,242.81707304240695
5450,202.73699491740695
20342,372.1892730707783
11679,234.87273710490695
15761,281.06951444865695
19284,329.19011991740695
6393,337.53386991740695
5747,286.3362457270283
18591,319.23308866740695
10621,681.2288238520284
13411,161.57097929240695
16895,225.64519804240695
17957,269.91503992468876
12578,378.57097929240695
308,431.59002226115695
6494,233.66619413615695
7252,263.53582304240695
10084,273.96571148904326
18417,293.9500152582783
7559,262.82879179240695
12190,336.23845976115695
5194,463.8504521226906
762,375.24804773718876
2906,238.73211210490695
7295,226.67840116740695
1158,316.67980857679595
13751,266.00115507365695
13125,399.74773710490695
19556,202.55144804240695
5163,362.49676054240695
1115,265.17351835490695
12468,367.1907379145283
3457,328.32439726115695
6622,284.8450347895283
15941,419.56316679240695
5406,263.80047147990695
4490,359.19500272990695
273,258.28369226843876
17094,364.77019804240695
6931,412.52703397990695
13204,286.42697752554193
17900,198.97722929240695
19158,217.24676054240695
3889,380.95232694865695
14677,298.74871366740695
6629,190.86004179240695
4488,250.93181913615695
19121,299.22429960490695
10247,458.85027616740695
20185,160.24578397990695
4227,403.3631011957783
10028,264.96160429240695
1775,507.33074491740695
562,382.30494841492686
13699,216.55340116740695
11434,367.1350738520283
6353,237.71746366740695
